주차,Day,일자(시작일 기준),소요시간,주제,난이도,학습유형,활동,학습자료,학습목표,자가평가 질문
1주차,Day 1,1일차,1h,인프라 엔지니어링 입문,쉬움,이론,"인프라 엔지니어링이란, 12단계 파이프라인 전체 흐름",BLOG/01-introduction.md,"IaC의 필요성, 반복 가능한 인프라의 의미, 프로젝트 전체 구조 이해",
1주차,Day 1,1일차,30m,인프라 엔지니어링 입문,쉬움,심화,프로젝트 전체 아키텍처 파악,EDU/01-project-overview.md,,
1주차,Day 1,1일차,30m,인프라 엔지니어링 입문,쉬움,실습,필수 도구 설치 및 시스템 요구사항 점검,GUIDE/00-prerequisites.md,,
1주차,Day 2,2일차,1h,가상화와 VM,쉬움,이론,"Hypervisor 종류, 커널 격리, Golden Image",BLOG/02-virtualization.md,"Type 1/2 Hypervisor 차이, Apple Silicon에서 VM 운영 방식 이해",
1주차,Day 2,2일차,30m,가상화와 VM,쉬움,심화,Tart VM + Terraform 인프라 계층,EDU/02-infrastructure.md,,
1주차,Day 2,2일차,30m,가상화와 VM,쉬움,실습,"4 클러스터 구조, 네트워크 설계 이해",GUIDE/01-architecture.md,,
1주차,Day 3,3일차,1.5h,컨테이너와 쿠버네티스 기초,쉬움,이론,"containerd, CRI, Pod, Deployment, kubeadm",BLOG/03-containers-and-kubernetes.md,"컨테이너 vs VM 차이, K8s 핵심 오브젝트(Pod/Deployment/Service) 이해",
1주차,Day 3,3일차,30m,컨테이너와 쿠버네티스 기초,쉬움,심화,12단계 설치 스크립트 구조 이해,EDU/03-kubernetes-setup.md,,
1주차,Day 4,4일차,1h,쿠버네티스 실습,쉬움,실습,demo.sh로 전체 환경 구축 체험,GUIDE/02-quick-start.md,"실제 클러스터 구축 경험, 각 Phase가 하는 일 이해",
1주차,Day 4,4일차,1h,쿠버네티스 실습,쉬움,실습,12단계 설치 파이프라인 Phase 1~6 동작 확인,GUIDE/03-phase-by-phase.md,,
1주차,Day 5,5일차,1h,클러스터 검증 + 복습,쉬움,실습,"노드, Pod, 서비스 정상 동작 확인",GUIDE/04-cluster-verification.md,"클러스터 상태 진단 능력, kubectl 기본 명령어 숙달","VM과 컨테이너의 차이를 설명할 수 있는가? / Pod, Deployment, Service의 관계를 설명할 수 있는가? / kubectl로 클러스터 상태를 확인할 수 있는가?"
1주차,Day 5,5일차,1h,클러스터 검증 + 복습,쉬움,복습,"1주차 핵심 개념 정리, kubectl 명령어 연습",1주차 전체 자료,,
2주차,Day 6,6일차,1.5h,쿠버네티스 네트워킹 기초,쉬움,이론,"CNI, eBPF, Pod CIDR, NAT 없는 통신",BLOG/04-networking.md,"Pod-to-Pod 통신 원리, Cilium이 kube-proxy를 대체하는 이유 이해",
2주차,Day 6,6일차,30m,쿠버네티스 네트워킹 기초,쉬움,심화,"Cilium CNI, Hubble 구조",EDU/04-networking.md (전반부),,
2주차,Day 7,7일차,1h,네트워크 심화 + Istio,보통,심화,"Istio, 네트워크 정책 상세",EDU/04-networking.md (후반부),"Service Mesh 개념, 네트워크 정책이 트래픽을 제어하는 방식 이해",
2주차,Day 7,7일차,1h,네트워크 심화 + Istio,보통,실습,Phase 7~12 설치 파이프라인 (네트워크 관련),GUIDE/03-phase-by-phase.md (Phase 7~12),,
2주차,Day 8,8일차,2h,네트워크 보안: 제로 트러스트,보통,이론,"Default Deny, L3/L4/L7 필터링, CiliumNetworkPolicy",BLOG/08-network-security.md,"제로 트러스트 보안 모델, Whitelist 기반 네트워크 정책 작성법",
2주차,Day 9,9일차,2h,서비스 메시 기초,보통,이론,"Sidecar 패턴, mTLS, VirtualService, 카나리 배포",BLOG/10-service-mesh.md,"Istio 아키텍처, mTLS 자동 암호화, 트래픽 분할 배포 이해",
2주차,Day 10,10일차,1h,2주차 복습 + 네트워크 실습,보통,실습,Hubble로 네트워크 플로우 관찰,GUIDE/07-testing-scenarios.md (네트워크 부분),"이론을 실제 트래픽 관찰로 연결, 보안 정책 전체 흐름 정리","Cilium이 kube-proxy를 대체하는 이유를 설명할 수 있는가? / 제로 트러스트 네트워크 정책을 작성할 수 있는가? / mTLS가 무엇이고 왜 필요한지 설명할 수 있는가?"
2주차,Day 10,10일차,1h,2주차 복습 + 네트워크 실습,보통,복습,"네트워크 계층별 정리 (L3→L4→L7), 보안 정책 요약",2주차 전체 자료,,
3주차,Day 11,11일차,1.5h,모니터링 기초,보통,이론,"Three Pillars (Metrics/Logs/Traces), Prometheus Pull 모델",BLOG/05-monitoring.md,"옵저버빌리티 3요소, MTTD/MTTR 개념, Prometheus TSDB 이해",
3주차,Day 11,11일차,30m,모니터링 기초,보통,심화,"Prometheus, Grafana 구조",EDU/05-monitoring.md (전반부),,
3주차,Day 12,12일차,1h,모니터링 심화,보통,심화,"Loki, AlertManager, 알림 라우팅",EDU/05-monitoring.md (후반부),"로그 수집 파이프라인, 알림 규칙 작성, Grafana 대시보드 활용",
3주차,Day 12,12일차,1h,모니터링 심화,보통,실습,Grafana 대시보드 접속 및 메트릭 확인,GUIDE/05-dashboard-guide.md (모니터링 부분),,
3주차,Day 13,13일차,2h,Infrastructure as Code,보통,이론,"Bash vs Terraform, 명령형 vs 선언형, 멱등성, SSOT",BLOG/06-iac-automation.md,"IaC의 핵심 원칙, Terraform HCL 기본 문법, State 관리 이해",
3주차,Day 14,14일차,2h,Terraform 실습,보통,실습,Terraform 모듈로 동일 인프라 구축,GUIDE/09-terraform-alternative.md,"terraform init/plan/apply 워크플로우, 모듈 구조 이해",
3주차,Day 15,15일차,1h,3주차 복습,보통,복습,모니터링 스택 전체 아키텍처 그려보기,3주차 전체 자료,"모니터링 + IaC 핵심 개념 내재화","Prometheus의 Pull 모델을 설명할 수 있는가? / Terraform의 멱등성이 왜 중요한지 설명할 수 있는가? / terraform plan 결과를 읽고 해석할 수 있는가?"
3주차,Day 15,15일차,1h,3주차 복습,보통,실습,"Prometheus PromQL 쿼리 연습, Terraform 코드 읽기","manifests/, terraform/",,
4주차,Day 16,16일차,2h,CI/CD 파이프라인 이론,보통,이론,"Jenkins 7단계 파이프라인, ArgoCD GitOps",BLOG/07-cicd-pipeline.md,"CI vs CD 차이, GitOps 원칙, 자동 배포 파이프라인 전체 흐름",
4주차,Day 17,17일차,2h,CI/CD 실습,보통,실습,Jenkins + ArgoCD 파이프라인 구성 및 동작 확인,GUIDE/06-cicd-workflow.md,"Jenkinsfile 작성, ArgoCD Sync 정책 설정, 배포 자동화 경험",
4주차,Day 18,18일차,1.5h,오토스케일링,보통,이론,"metrics-server, HPA 공식, PDB",BLOG/09-autoscaling.md,"HPA 계산 공식, PDB로 가용성 보장하는 방법 이해",
4주차,Day 18,18일차,30m,오토스케일링,보통,실습,HPA 동작 관찰,GUIDE/07-testing-scenarios.md (스케일링 부분),,
4주차,Day 19,19일차,1h,SRE 대시보드,보통,이론,"SRE 대시보드 구조 (6 Pages, 11 APIs)",BLOG/12-sre-dashboard.md,"SRE 대시보드의 역할, 실시간 모니터링 API 설계 이해",
4주차,Day 19,19일차,1h,SRE 대시보드,보통,심화,React + Express 코드 구조,EDU/06-dashboard.md,,
4주차,Day 20,20일차,1h,SRE 대시보드 실습 + 복습,보통,실습,대시보드 설치 및 사용,GUIDE/05-dashboard-guide.md,"운영 파이프라인 End-to-End 흐름 체득","Jenkins 파이프라인 7단계를 나열할 수 있는가? / GitOps의 핵심 원칙을 설명할 수 있는가? / HPA 스케일링 공식을 설명할 수 있는가?"
4주차,Day 20,20일차,1h,SRE 대시보드 실습 + 복습,보통,복습,CI/CD → 배포 → 스케일링 → 모니터링 전체 흐름 정리,4주차 전체 자료,,
5주차,Day 21,21일차,1.5h,데모 앱 구성,어려움,이론,"3-Tier 아키텍처, OAuth 2.0, RabbitMQ",BLOG/11-demo-apps.md,"마이크로서비스 아키텍처 패턴, 인증(Keycloak) 통합 이해",
5주차,Day 21,21일차,30m,데모 앱 구성,어려움,심화,"데모 앱, HPA 설정 상세",EDU/07-demo-apps.md (전반부),,
5주차,Day 22,22일차,1.5h,부하 테스트 이론,어려움,이론,"k6, VU, p95/p99, RPS, SLA",BLOG/13-load-testing.md,"부하 테스트 설계, 성능 지표(p95/p99) 해석, SLA 기준 이해",
5주차,Day 22,22일차,30m,부하 테스트 이론,어려움,심화,"stress-ng, Cascade 시나리오",EDU/07-demo-apps.md (후반부),,
5주차,Day 23,23일차,2h,부하 테스트 실습,어려움,실습,16개 시나리오 중 주요 시나리오 직접 실행,GUIDE/07-testing-scenarios.md,"k6 스크립트 작성 및 실행, HPA 반응 실시간 관찰",
5주차,Day 24,24일차,1h,트러블슈팅,어려움,이론,"6단계 디버깅, 레이어별 체크리스트",BLOG/14-troubleshooting.md,"체계적 디버깅 방법론, Postmortem 작성법",
5주차,Day 24,24일차,1h,트러블슈팅,어려움,실습,계층별 문제 진단 실습,GUIDE/08-troubleshooting.md,,
5주차,Day 25,25일차,1h,5주차 복습,어려움,복습,앱 배포 → 부하 테스트 → 스케일링 → 장애 대응 흐름,5주차 전체 자료,"운영 시나리오별 대응 능력 확보","k6로 부하 테스트 스크립트를 작성할 수 있는가? / p95/p99의 의미를 설명할 수 있는가? / 장애 발생 시 체계적으로 디버깅할 수 있는가?"
5주차,Day 25,25일차,1h,5주차 복습,어려움,실습,장애 시뮬레이션 (Pod 삭제 후 복구 관찰),GUIDE/07-testing-scenarios.md,,
6주차,Day 26,26일차,2h,전체 정리,보통,이론,"Day 0/1/2 운영, 커리어 패스, 치트시트",BLOG/15-putting-it-all-together.md,"인프라 엔지니어 역할별 Day 0/1/2 업무 이해, 성장 로드맵 파악",
6주차,Day 27,27일차,1h,코드 수정 가이드,보통,학습,새 클러스터/앱/기능 추가 방법,EDU/08-how-to-modify.md,"프로젝트 확장 능력, 기술 스택 전체 버전/포트 정보 파악",
6주차,Day 27,27일차,1h,코드 수정 가이드,보통,학습,전체 기술 스택 레퍼런스,EDU/09-tech-stack.md,,
